Date,Open,High,Low,Close,Adj Close,Volume
2013-07-31,32.340000,32.700001,32.290001,32.400002,29.731852,1879600
2013-08-01,32.700001,33.209999,32.580002,33.200001,30.465973,1359000
2013-08-02,33.139999,33.189999,32.880001,32.980000,30.264086,759000
2013-08-05,32.790001,32.830002,32.560001,32.610001,29.924559,568100
2013-08-06,32.669998,32.689999,32.320000,32.529999,29.851145,1142500
2013-08-07,32.490002,32.490002,32.029999,32.240002,29.585026,645100
2013-08-08,32.369999,32.490002,32.119999,32.310001,29.649261,762300
2013-08-09,32.270000,32.500000,31.910000,31.910000,29.282198,844100
2013-08-12,31.900000,32.279999,31.770000,31.959999,29.328081,1411900
2013-08-13,31.900000,32.110001,31.709999,31.910000,29.282198,782200
2013-08-14,31.850000,32.180000,31.770000,31.959999,29.328081,660700
2013-08-15,31.670000,31.760000,30.940001,31.139999,28.575615,1577900
2013-08-16,31.070000,31.309999,30.700001,30.790001,28.254436,1297100
2013-08-19,30.760000,31.100000,30.639999,30.780001,28.245260,1333100
2013-08-20,30.760000,31.350000,30.750000,31.219999,28.649025,1432700
2013-08-21,31.870001,32.040001,31.469999,31.540001,28.942673,1821100
2013-08-22,31.600000,31.889999,29.830000,30.459999,27.951611,2393000
2013-08-23,30.700001,30.959999,30.480000,30.830000,28.291142,2073900
2013-08-26,30.910000,31.000000,30.650000,30.650000,28.125965,1187600
2013-08-27,30.379999,30.490000,29.840000,29.940001,27.474432,1565700
2013-08-28,30.010000,30.170000,29.700001,29.840000,27.382668,1881000
2013-08-29,29.740000,30.200001,29.690001,30.059999,27.584555,1190400
2013-08-30,30.250000,30.400000,29.750000,29.860001,27.401022,1255200
2013-09-03,30.350000,30.490000,29.670000,29.780001,27.327610,1201100
2013-09-04,29.780001,30.330000,29.510000,30.000000,27.529493,2417700
2013-09-05,29.959999,30.420000,29.959999,30.270000,27.777256,1170500
2013-09-06,30.440001,30.670000,29.900000,30.510000,27.997498,1521200
2013-09-09,30.570000,30.709999,30.360001,30.670000,28.144318,1146300
2013-09-10,30.799999,31.100000,30.750000,30.980000,28.428791,845800
2013-09-11,30.730000,31.200001,30.620001,31.000000,28.567015,1332800
2013-09-12,31.129999,31.330000,30.760000,31.290001,28.834255,1720600
2013-09-13,31.250000,31.330000,31.030001,31.250000,28.797398,1275200
2013-09-16,31.549999,31.670000,31.190001,31.420000,28.954052,1683900
2013-09-17,31.410000,31.559999,31.309999,31.530001,29.055422,902400
2013-09-18,31.459999,31.860001,31.230000,31.770000,29.276583,2816600
2013-09-19,31.750000,32.080002,31.650000,32.020000,29.506968,1378100
2013-09-20,32.090000,32.330002,31.959999,32.080002,29.562256,1603500
2013-09-23,31.910000,32.680000,31.879999,32.060001,29.543827,2626000
2013-09-24,32.130001,32.439999,31.980000,32.180000,29.654404,1277900
2013-09-25,32.200001,32.400002,32.009998,32.049999,29.534605,1061200
2013-09-26,32.049999,32.630001,32.040001,32.570000,30.013800,920900
2013-09-27,32.299999,32.310001,32.099998,32.200001,29.672838,550500
2013-09-30,31.870001,32.130001,31.730000,32.110001,29.589903,937300
2013-10-01,32.099998,32.500000,31.950001,32.389999,29.847927,1203300
2013-10-02,32.299999,32.400002,32.020000,32.380001,29.838707,1043800
2013-10-03,32.220001,32.500000,32.009998,32.310001,29.774200,1320000
2013-10-04,32.349998,33.009998,32.270000,32.900002,30.317902,1647700
2013-10-07,32.660000,32.720001,32.270000,32.279999,29.746553,956000
2013-10-08,32.290001,32.430000,31.760000,31.790001,29.295013,1143700
2013-10-09,31.950001,32.369999,31.760000,32.020000,29.506968,1245500
2013-10-10,32.259998,33.060001,32.250000,33.020000,30.428482,859700
2013-10-11,32.869999,33.320000,32.869999,33.169998,30.566704,1064000
2013-10-14,33.009998,33.619999,33.009998,33.529999,30.898451,780200
2013-10-15,33.540001,33.830002,33.189999,33.330002,30.714155,954700
2013-10-16,33.610001,33.939999,33.389999,33.680000,31.036680,1011300
2013-10-17,33.490002,34.160000,33.490002,34.080002,31.405291,805700
2013-10-18,34.209999,34.240002,34.000000,34.150002,31.469795,641200
2013-10-21,34.099998,34.230000,33.380001,33.689999,31.045902,1411300
2013-10-22,33.830002,34.139999,33.560001,33.580002,30.944534,1300300
2013-10-23,33.750000,35.619999,33.680000,35.529999,32.741486,2448500
2013-10-24,35.529999,36.250000,35.529999,35.650002,32.852070,1423200
2013-10-25,35.529999,36.029999,35.470001,35.700001,32.898148,1133900
2013-10-28,35.689999,35.950001,35.650002,35.720001,32.916569,1239100
2013-10-29,35.790001,36.040001,35.660000,36.009998,33.183804,1371500
2013-10-30,35.939999,35.980000,35.529999,35.730000,32.925793,791900
2013-10-31,35.540001,35.709999,35.349998,35.430000,32.649334,1165900
2013-11-01,35.419998,35.560001,35.009998,35.299999,32.529533,1256700
2013-11-04,35.480000,35.509998,35.200001,35.459999,32.676987,579300
2013-11-05,35.189999,35.630001,35.080002,35.320000,32.547966,731400
2013-11-06,35.450001,35.669998,35.360001,35.500000,32.713844,594400
2013-11-07,35.660000,35.840000,35.070000,35.119999,32.363667,643900
2013-11-08,35.250000,36.009998,35.130001,35.930000,33.110088,965100
2013-11-11,35.830002,36.200001,35.520000,35.910000,33.091656,796200
2013-11-12,35.900002,36.250000,35.660000,35.849998,33.036366,749100
2013-11-13,35.549999,36.180000,35.509998,36.180000,33.340462,658600
2013-11-14,36.340000,37.230000,36.090000,37.200001,34.280418,1596000
2013-11-15,37.189999,37.200001,36.779999,37.080002,34.169838,1675700
2013-11-18,37.169998,37.619999,36.869999,37.599998,34.649025,1400600
2013-11-19,37.000000,38.599998,36.900002,38.209999,35.211143,2134300
2013-11-20,38.150002,38.660000,38.020000,38.480000,35.459961,1728700
2013-11-21,38.740002,39.000000,38.560001,38.919998,35.865425,1476800
2013-11-22,39.000000,39.680000,38.919998,39.610001,36.501282,1575100
2013-11-25,39.610001,39.830002,39.259998,39.299999,36.215599,1373000
2013-11-26,39.259998,39.419998,38.779999,38.790001,35.745636,980400
2013-11-27,38.830002,39.080002,38.459999,38.639999,35.607403,965700
2013-11-29,38.790001,39.669998,38.590000,39.290001,36.206394,866900
2013-12-02,39.470001,40.639999,39.290001,39.400002,36.307755,1676000
2013-12-03,39.220001,39.509998,38.700001,39.029999,35.966793,1139700
2013-12-04,38.990002,40.380001,38.740002,39.950001,36.814590,2418400
2013-12-05,39.580002,39.880001,38.820000,38.860001,35.810135,1653100
2013-12-06,39.270000,39.340000,38.209999,38.880001,35.828564,2022100
2013-12-09,39.009998,39.119999,38.709999,38.910000,35.856213,1202400
2013-12-10,38.820000,39.009998,38.450001,38.889999,35.837780,1082900
2013-12-11,38.779999,39.000000,38.619999,38.709999,35.791550,1139100
2013-12-12,38.740002,39.020000,38.529999,38.790001,35.865528,1453000
2013-12-13,38.959999,38.970001,38.549999,38.549999,35.643612,969700
2013-12-16,38.730000,38.959999,38.470001,38.720001,35.800797,1170000
2013-12-17,38.720001,39.330002,38.720001,39.310001,36.346317,1048800
2013-12-18,39.250000,39.599998,38.540001,39.599998,36.614456,1611700
2013-12-19,39.450001,39.580002,39.230000,39.459999,36.485004,860900
2013-12-20,39.599998,40.080002,39.389999,39.959999,36.947308,1700100
2013-12-23,39.369999,39.849998,39.360001,39.759998,36.762383,879300
2013-12-24,39.720001,39.959999,39.320000,39.910000,36.901081,348000
2013-12-26,40.119999,40.230000,39.820000,39.980000,36.965805,514500
2013-12-27,39.970001,40.130001,39.759998,39.919998,36.910328,516200
2013-12-30,39.810001,39.970001,39.610001,39.830002,36.827118,615800
2013-12-31,39.959999,40.150002,39.619999,39.799999,36.799374,555600
2014-01-02,39.889999,39.959999,39.150002,39.200001,36.244610,1051300
2014-01-03,39.290001,39.980000,39.290001,39.779999,36.780888,1222300
2014-01-06,39.689999,40.049999,39.500000,39.880001,36.873341,1525000
2014-01-07,40.110001,40.369999,39.799999,40.070000,37.049023,917300
2014-01-08,40.700001,40.740002,40.020000,40.180000,37.150719,1714900
