,prices
0,1267
1,1260
2,1256
3,1252
4,1249
5,1284
6,1289
7,1266
8,1296
9,1299
10,1302
11,1305
12,1289
13,1285
14,1292
15,1298
16,1291
17,1285
18,1278
19,1266
20,1274
21,1277
22,1292
23,1283
24,1275
25,1266
26,1271
27,1281
28,1300
29,1282
30,1281
31,1280
32,1278
33,1277
34,1274
35,1236
36,1242
37,1250
38,1259
39,1267
40,1224
41,1232
42,1249
43,1251
44,1232
45,1212
46,1192
47,1213
48,1156
49,1206
50,1255
51,1239
52,1223
53,1207
54,1188
55,1185
56,1209
57,1213
58,1177
59,1142
60,1106
61,1166
62,1161
63,1114
64,1099
65,1085
66,1071
67,1056
68,996
69,984
70,909
71,899
72,933
73,968
74,1003
75,998
76,907
77,946
78,940
79,955
80,970
81,985
82,955
83,896
84,908
85,876
86,867
87,858
88,848
89,940
90,930
91,954
92,968
93,967
94,967
95,966
96,1005
97,952
98,904
99,930
100,927
101,923
102,919
103,898
104,852
105,911
106,873
107,865
108,858
109,850
110,859
111,806
112,752
113,800
114,817
115,834
116,851
117,857
118,887
119,891
120,896
121,869
122,842
123,816
124,848
125,870
126,845
127,876
128,887
129,898
130,909
131,888
132,899
133,873
134,879
135,876
136,872
137,868
138,913
139,904
140,885
141,887
142,882
143,877
144,871
145,863
146,868
147,870
148,872
149,871
150,870
151,869
152,890
153,903
154,917
155,931
156,930
157,928
158,927
159,934
160,906
161,909
162,890
163,883
164,876
165,870
166,871
167,842
168,843
169,850
170,838
171,827
172,816
173,805
174,840
175,827
176,831
177,833
178,835
179,836
180,845
181,874
182,845
183,825
184,825
185,825
186,825
187,838
188,832
189,845
190,868
191,869
192,869
193,869
194,827
195,833
196,835
197,826
198,817
199,808
200,798
201,789
202,788
203,778
204,770
205,761
206,752
207,743
208,773
209,764
210,752
211,735
212,723
213,712
214,700
215,696
216,712
217,682
218,683
219,681
220,678
221,676
222,719
223,721
224,750
225,756
226,755
227,754
228,753
229,778
230,794
231,784
232,768
233,786
234,804
235,822
236,806
237,813
238,832
239,815
240,806
241,797
242,787
243,797
244,811
245,834
246,842
247,840
248,837
249,835
250,815
251,825
252,856
253,857
254,857
255,858
256,858
257,841
258,852
259,865
260,869
261,857
262,844
263,832
264,850
265,843
266,851
267,866
268,863
269,860
270,857
271,855
272,873
273,872
274,877
275,887
276,897
277,907
278,903
279,919
280,907
281,929
282,922
283,915
284,909
285,908
286,883
287,893
288,882
289,891
290,900
291,909
292,908
